PRICE,BEDS,PROPERTYSQFT,SUBLOCALITY_ENCODED,TYPE_ENCODED
105000,3,656.0,7.0,3.0
300000,3,952.0,4.0,1.0
799000,5,2400.0,11.0,4.0
202000,2,1453.0,8.0,3.0
720000,3,1430.0,2.0,6.0
600000,5,,3.0,1.0
599000,3,1200.0,6.0,3.0
235000,2,860.0,9.0,0.0
319000,3,960.0,10.0,3.0
950000,12,,10.0,4.0
1088888,4,,10.0,4.0
1250000,4,3300.0,2.0,1.0
650000,3,,3.0,7.0
774888,3,960.0,2.0,1.0
105509,1,650.0,7.0,3.0
995000,5,,3.0,4.0
995000,5,,3.0,4.0
769000,4,1728.0,11.0,1.0
395995,2,1100.0,7.0,3.0
975000,1,900.0,4.0,5.0
499999,2,1744.0,11.0,1.0
1649000,2,,4.0,3.0
365000,2,,8.0,3.0
748999,3,1620.0,2.0,9.0
635000,3,,10.0,1.0
149000,3,400.0,4.0,3.0
1099000,5,1760.0,10.0,1.0
3950000,3,,2.0,7.0
1529999,6,2400.0,10.0,4.0
675000,3,1404.0,2.0,1.0
2650000,6,,10.0,1.0
420000,3,,10.0,1.0
2999950,3,,3.0,7.0
559900,3,980.0,2.0,2.0
549000,3,,10.0,1.0
999000,3,950.0,10.0,7.0
289000,3,,11.0,7.0
790000,3,,10.0,7.0
2295000,7,3632.0,1.0,1.0
1150000,3,3000.0,2.0,1.0
13995000,7,9026.0,3.0,2.0
6100000,3,,3.0,7.0
350000,3,,3.0,7.0
450000,3,,11.0,7.0
2999999,3,,10.0,7.0
2500000,3,,3.0,7.0
350000,3,,3.0,7.0
150000,3,,2.0,7.0
3600000,3,,3.0,7.0
150000,3,,2.0,7.0
235000,3,1400.0,8.0,3.0
199000,3,,4.0,7.0
2000000,3,,11.0,7.0
2200000,3,,10.0,7.0
650000,3,,10.0,7.0
149000,3,,2.0,7.0
215000,4,2000.0,3.0,1.0
799999,3,,3.0,7.0
299000,5,,10.0,1.0
265000,3,,3.0,7.0
795000,3,,11.0,7.0
1245000,3,,11.0,7.0
549000,3,,3.0,7.0
7495000,4,2888.0,4.0,0.0
2850000,4,4080.0,10.0,2.0
215000,2,747.0,11.0,3.0
299000,3,,3.0,7.0
275000,2,1104.0,11.0,1.0
898000,6,2100.0,2.0,4.0
275000,2,900.0,7.0,3.0
599000,4,1682.0,10.0,1.0
189000,1,730.0,9.0,0.0
678990,3,1575.0,2.0,4.0
800000,3,1824.0,3.0,1.0
549000,3,1092.0,2.0,0.0
849000,3,2000.0,2.0,1.0
675000,3,,3.0,9.0
130000,3,664.0,2.0,1.0
759999,4,,10.0,1.0
489000,2,978.0,2.0,6.0
799900,5,1750.0,3.0,4.0
295000,3,,8.0,3.0
159000,2,1010.0,11.0,3.0
999500,3,1144.0,10.0,1.0
589000,3,2310.0,2.0,6.0
329000,2,850.0,2.0,0.0
799000,3,1881.0,3.0,1.0
1188000,4,1580.0,3.0,1.0
729000,3,1400.0,11.0,1.0
